Issue Type,Issue ID,Parent ID,Epic Link,Epic Name,Parent Link,Parent,Summary,Component/s,Priority,Story Points,Labels,Labels,Labels,Description,Acceptance Criteria
Story,11,,Account Overview & Detail,,,9,Drill into a single account's detail,Client Portal,High,3,customer-app,,,"As an investor, I want an account detail page showing that account's holdings and recent transactions, so that I can inspect a specific account without sifting through everything at once.

=== TECHNICAL DESIGN ===
Read :accountId from route params; filter holdings by accountId; show recent activity via
useRecentTransactions(accountId); render type-specific links (IRA/SEP -> beneficiaries, RMD; etc.).","Scenario: Account detail shows holdings and recent activity
  Given I am on the Account hub
  When I open a specific account
  Then I see its holdings (fund, shares, price, value) and its most recent transactions
  And links to the relevant self-service actions for that account type"
Epic,12,,,Portfolio Dashboard,1,1,Portfolio Dashboard,Client Portal,High,,customer-app,self-service,,"A consolidated portfolio view: total balance across accounts, holdings, and a recent-transactions snapshot, plus the primary entry point to open a new account. Where the account hub is ""my accounts"", the portfolio is ""my money in aggregate"".

Value: gives investors the at-a-glance net position and a clear next action (invest more / open an account).

=== TECHNICAL SCOPE ===
Page /portfolio. Aggregate totalBalance + holdings across accounts from clientStore; a recent-
transactions snapshot (top N via useRecentTransactions) links to /transactions; an ""Open an account""
button in the header navigates to /open-account. The chat FAB is global (rendered outside <Routes>).","Definition of done:
- Total balance and holdings aggregate correctly across all accounts.
- A recent-transactions snapshot links to the full Transaction History page.
- An ""Open an account"" action is present in the page header."
Story,13,,Portfolio Dashboard,,,12,See an aggregate portfolio with holdings and recent activity,Client Portal,High,5,customer-app,,,"As an investor, I want a portfolio dashboard with my total balance, holdings, and a snapshot of recent transactions, so that I understand my overall position at a glance.

=== TECHNICAL DESIGN ===
Aggregate holdings across accounts, sort by value; reuse HoldingsTable. Snapshot = top 5 recent
transactions with StatusCell. Right-align numeric/currency columns.","Scenario: Portfolio aggregates across accounts
  Given I hold positions in more than one account
  When I open the Portfolio page
  Then I see my combined total balance and a holdings list spanning all accounts
  And a recent-transactions section linking to the full Transaction History"
Story,14,,Portfolio Dashboard,,,12,Start opening an account from the portfolio header,Client Portal,,2,customer-app,ux,,"As an investor, I want an ""Open an account"" action in the portfolio header, so that I can begin opening a new account from the place I review my holdings.

=== TECHNICAL DESIGN ===
Header button -> navigate(""/open-account""). Keep the global chat FAB mounted across the transition.","Scenario: Open-account entry point
  Given I am on the Portfolio page
  When I click ""Open an account""
  Then I am taken to the account-opening wizard"
Epic,15,,,Fund Research & Discovery,1,1,Fund Research & Discovery,Client Portal,High,,customer-app,funds,,"The research surface: a screener over the full fund lineup, a per-fund profile page (objective, expense ratio, risk level, sector allocation, historical returns), and a buy entry point. All fund facts are read from the single fund catalog so pages never disagree with the chat assistant.

Value: lets investors discover and evaluate funds themselves, supporting confident, self-directed investing.

=== TECHNICAL SCOPE ===
Pages: /research (screener), /research/fund/:ticker (profile), /research/fund/:ticker/buy. All fund
facts via the useFunds() hook (catalog); live price/return via the market-data API. Screener filters in
component state over the funds array; profile shows catalog attributes + live quote; buy routes into the
purchase flow scoped to the ticker.","Definition of done:
- The screener lists every fund in the lineup with key attributes and supports filtering.
- Each fund profile renders catalog data plus live price/return from market data.
- A buy action routes into the purchase flow for that fund."
Story,16,,Fund Research & Discovery,,,15,Browse and filter the fund lineup,Client Portal,High,5,customer-app,funds,,"As a self-directed investor, I want a research screen that lists every fund with its asset class, expense ratio, and risk level and lets me filter, so that I can narrow the lineup to funds that fit my strategy.

=== TECHNICAL DESIGN ===
useFunds() for the list; filter/sort in component state (asset class, risk level, expense ratio). ~36
rows so no virtualization needed. Right-align numeric columns; link rows to the profile.","Scenario: Screener lists and filters funds
  Given I am on the Research page
  Then I see every fund in the lineup with asset class, expense ratio, and risk level
  When I apply a filter (e.g. asset class)
  Then only matching funds remain"
Story,17,,Fund Research & Discovery,,,15,View a single fund's profile,Client Portal,High,5,customer-app,funds,,"As an investor, I want a fund profile page with the objective, expense ratio, risk level, sector allocation, historical returns, and live price, so that I can evaluate a fund in depth before investing.

=== TECHNICAL DESIGN ===
Read :ticker; find it in useFunds(); fetch the live quote from market-data; render sectorAllocation and
annualReturns; primary CTA -> /research/fund/:ticker/buy.","Scenario: Fund profile shows catalog + live data
  Given I open a fund profile from the screener
  Then I see the fund's catalog attributes and its current live price/return
  And a clear action to buy the fund"
Story,18,,Fund Research & Discovery,,,15,Begin a purchase from a fund profile,Client Portal,,3,customer-app,funds,,"As an investor, I want a buy page reachable from a fund profile, so that I can move from evaluating a fund to investing in it without leaving research.

=== TECHNICAL DESIGN ===
Buy page reads :ticker and prefills the fund; collects account/amount/funding; in the portal this is a
mock confirmation (the real brokerage path runs through an agent via execute-task).","Scenario: Buy entry point from profile
  Given I am on a fund profile
  When I choose to buy
  Then I land on the purchase flow pre-scoped to that fund"
Epic,19,,,Self-Service Account Management Pages,1,1,Self-Service Account Management Pages,Client Portal,High,,customer-app,self-service,,"Dedicated functional pages for the account actions investors perform most: beneficiary designations, automatic investing schedules, Required Minimum Distribution settings, and tax-document retrieval. These pages read and write the same DynamoDB-backed data the autopilot uses, so the two channels agree.

Value: lets investors complete high-intent account maintenance on their own, the actions that otherwise generate the most calls.

=== TECHNICAL SCOPE ===
Pages: /account/beneficiaries, /account/auto-invest, /account/rmd, /account/tax-documents. Reads/writes
go through client-data Lambda actions; writes MUST mirror the execute-task real-write logic so the
portal and the autopilot never disagree. Beneficiary editor filters to IRA/SEP only and enforces 100%
per account; auto-invest supports create/edit/pause/resume; RMD shows eligibility + delivery/frequency/
withholding; tax docs list by year + form.","Definition of done:
- Beneficiaries, Auto-Invest, RMD, and Tax Documents each have a functional page bound to live data.
- Beneficiary edits enforce 100% allocation per account.
- These pages are reachable from account detail and from in-chat links."
Story,20,,Self-Service Account Management Pages,,,19,Manage beneficiary designations,Client Portal,High,5,customer-app,self-service,,"As an IRA account holder, I want a beneficiaries page where I can view and edit primary and secondary beneficiaries per eligible account, so that I control who inherits each account without paperwork.

=== TECHNICAL DESIGN ===
Editor keyed by accountId; list only IRA/SEP accounts (never taxable). On save validate
sum(percentage) === 100 (block otherwise). Persist via a client-data update that atomically replaces
that account's beneficiaries while preserving the other accounts (identical semantics to execute-task
update-beneficiaries). Beneficiary shape {accountId,name,relationship,percentage,type}.","Scenario: Allocation must total 100%
  Given I am editing beneficiaries on an eligible account
  When I save a set of beneficiaries whose percentages do not total 100%
  Then the save is blocked with a clear validation message

Scenario: Taxable accounts are excluded
  Given I hold a taxable brokerage account
  Then it does not appear as a beneficiary-eligible account"
Sub-task,21,20,,,,20,IRA/SEP account filter + per-account beneficiary editor UI,Client Portal,,,,,,Exclude taxable accounts; edit primary/secondary entries with percentages.,
Sub-task,22,20,,,,20,100% allocation validation,Client Portal,,,,,,Block save unless the per-account percentages total exactly 100.,
Sub-task,23,20,,,,20,Atomic per-account replace via client-data,Client Portal,,,,,,Replace only the target account beneficiaries; preserve all other accounts (match execute-task semantics).,
Story,24,,Self-Service Account Management Pages,,,19,Manage automatic investment schedules,Client Portal,High,5,customer-app,self-service,,"As an investor, I want an auto-invest page to view, create, edit, pause, and resume recurring investments, so that I can keep dollar-cost-averaging on autopilot and adjust it when life changes.

=== TECHNICAL DESIGN ===
List autoInvest[] {id,accountId,accountType,fund,ticker,amount,frequency,dayOfMonth,nextDate,active}.
Actions create/update/pause-resume via client-data; recompute nextDate on change; reflect active state
in the UI.","Scenario: View and modify schedules
  Given I have at least one auto-invest schedule
  When I open the Auto-Invest page
  Then I see each schedule (fund, amount, frequency, next date, active state)
  And I can pause, resume, or edit a schedule"
Story,25,,Self-Service Account Management Pages,,,19,View and configure RMD settings,Client Portal,,5,customer-app,self-service,,"As a retiree with a Traditional or SEP IRA, I want an RMD page showing my required minimum distribution status and letting me set delivery, frequency, and withholding, so that I stay compliant with mandatory withdrawals without calling in.

=== TECHNICAL DESIGN ===
rmd object {eligible,age,annualRmd,takenThisYear,remainingThisYear,nextDeadline,deliveryMethod,
frequency,taxWithholding}. If !eligible, render an explanatory state. Writable: deliveryMethod,
frequency, taxWithholding (0-99%).","Scenario: RMD page reflects eligibility
  Given I hold a Traditional IRA or SEP-IRA that is RMD-eligible
  When I open the RMD page
  Then I see my RMD status and can set delivery method, frequency, and tax withholding

Scenario: Not RMD-eligible
  Given I hold only Roth or taxable accounts
  Then the page explains I have no current RMD obligation"
Story,26,,Self-Service Account Management Pages,,,19,Retrieve tax documents,Client Portal,,3,customer-app,self-service,,"As an investor, I want a tax-documents page listing my available forms (1099-R, 1099-B, 1099-DIV, 5498) by year, so that I can download what I need at tax time without contacting support.

=== TECHNICAL DESIGN ===
Derive available forms by year (1099-R/1099-B/1099-DIV/5498) from account types + activity; request/
download triggers a mock document action returning a reference number.","Scenario: List available tax forms
  Given I have reportable activity in a prior tax year
  When I open the Tax Documents page
  Then I see the relevant forms for each available year with a way to request/download them"
Epic,27,,,Open-an-Account Wizard,1,1,Open-an-Account Wizard,Client Portal,High,,customer-app,self-service,,"A realistic, multi-step account-opening flow: choose account type, enter personal and contact information, acknowledge FINRA/SEC disclosures, complete account-type-specific setup (IRA beneficiaries with 100% allocation, SEP business info, taxable joint owner/TOD), fund the account and place an initial investment, opt into free dollar-cost-averaging, then review, sign, and confirm. Steps are URL-driven so browser back/forward and refresh work, and the in-flow chat tracks the exact step.

Value: converts prospective and existing investors into funded new accounts entirely online.

=== TECHNICAL SCOPE ===
Single route /open-account; 8 steps with step + completion encoded in the URL (?step=N, ?done=1) via
useSearchParams so browser Back/Forward and refresh traverse the wizard. Form state stays in component
state (a query-param change does not unmount the page). Branch by accountType at the setup step. Publish
a fine-grained page-context key per step + branch via a pageContextStore so chat pills track the exact
screen; in-flow topics are ungated and do not link back to /open-account.","Definition of done:
- The wizard branches correctly by account type and enforces type-specific rules.
- Step and completion state are encoded in the URL (?step / ?done) and survive refresh.
- The flow ends in a confirmation timeline; in-flow chat pills track the current step."
Story,28,,Open-an-Account Wizard,,,27,Open an account through a guided multi-step wizard,Client Portal,High,8,customer-app,self-service,,"As a prospective or existing investor, I want a guided wizard that walks me from account type through funding, agreements, and e-signature, so that I can open and fund a new account online without paper forms or a phone call.

=== TECHNICAL DESIGN ===
Steps: type -> personal -> contact -> FINRA/SEC disclosures -> setup(branch) -> funding + initial
investment -> free DCA opt-in -> review/agreements/e-signature -> confirmation. goTo(step)/handleSubmit
push merged search params. Branch components: IRA (beneficiaries with 100% allocation check), SEP
(business/EIN), Taxable (joint owner + TOD). Validate per step; block IRA progress until beneficiaries
total 100%. On submit, mock-create the account and render a confirmation timeline (?done=1).","Scenario: Account-type branch is enforced
  Given I choose to open a SEP-IRA
  When I reach the setup step
  Then I am asked for business/EIN information specific to a SEP-IRA

Scenario: IRA beneficiary allocation is validated
  Given I am opening an IRA and adding beneficiaries
  When their allocations do not total 100%
  Then I cannot proceed until they do

Scenario: Completion confirmation
  Given I have signed and submitted the application
  Then I see a confirmation timeline describing what happens next"
Sub-task,29,28,,,,28,Build the 8-step wizard scaffold and step branching,Client Portal,,,,,,Type -> personal -> contact -> disclosures -> type setup -> funding+initial invest -> DCA opt-in -> review/sign/confirm.,
Sub-task,30,28,,,,28,Drive step/done state from URL query params,Client Portal,,,,,,Use ?step=N and ?done=1 so browser back/forward and refresh traverse the wizard; form state stays in component state.,
Sub-task,31,28,,,,28,Publish per-step page context for in-flow chat pills,Client Portal,,,,,,"Publish open-account/<step> and open-account/setup-{ira,sep,taxable} keys via pageContextStore so chat topics track the screen.",
Sub-task,32,28,,,,28,Encode wizard step + done in URL query params (useSearchParams),Client Portal,,,,,,Drive ?step=N and ?done=1 from the URL so Back/Forward + refresh work; keep form values in component state.,
Sub-task,33,28,,,,28,Build the 8 step components + account-type branch components,Client Portal,,,,,,"type, personal, contact, disclosures, setup(IRA/SEP/Taxable), funding+initial invest, DCA opt-in, review/sign/confirm.",
Sub-task,34,28,,,,28,Per-step validation incl. IRA 100% beneficiary allocation gate,Client Portal,,,,,,Block advancing past IRA setup until primary beneficiary allocations total 100%.,
Sub-task,35,28,,,,28,Publish per-step page-context keys for chat pills,Client Portal,,,,,,"Publish open-account/<step> and setup-{ira,sep,taxable} via pageContextStore; ChatWidget prefers it over the path key.",
Sub-task,36,28,,,,28,Mock account creation + confirmation timeline,Client Portal,,,,,,"On submit, create the account (mock) and render the terminal confirmation timeline.",
Epic,37,,,"Education: Resources, Library & Help Center",1,1,"Education: Resources, Library & Help Center",Client Portal,Medium,,customer-app,content,,"The content estate that powers self-service learning and backs the chat assistant's links: ~10 resource pages (IRA contribution limits, Roth IRA, SEP-IRA, SEP vs Solo 401(k), tax-efficient investing, estate planning, self-employed retirement, tax deductions, rollovers, and an interactive retirement calculator); a library of guide/opinion articles and an investor podcast; and ~27 help pages (account access, transfers, beneficiaries, cost basis, DRIP, fees, fund performance, prospectus library, RMD guide, rollover guide, statements, trading, wire transfer, withdrawals, etc.).

Value: deflects informational contacts, builds investor confidence, and gives the bot authoritative pages to link to instead of free-typing answers.

=== TECHNICAL SCOPE ===
Mostly static content components: ~10 resource pages, a library (index + ArticlePage by category guide/
opinion + slug, plus a podcast page), and ~27 help pages. Pages that show fund data use useFunds(). The
retirement calculator is interactive. Help/resource routes are the bot link targets (SELF_SERVICE_PAGES)
- keep slugs stable and aligned with the KB link table.","Definition of done:
- All resource, library, and help routes render and are linkable from chat.
- The retirement calculator computes projections from user inputs.
- Pages that show fund data read from the shared fund catalog."
Story,38,,"Education: Resources, Library & Help Center",,,37,Read education resource pages,Client Portal,,5,customer-app,content,,"As an investor, I want a set of resource pages covering IRAs, rollovers, tax-efficient investing, estate planning, and self-employed retirement, so that I can learn the concepts behind my decisions without leaving the portal.

=== TECHNICAL DESIGN ===
Static content components with a consistent layout; cross-link to related actions/pages; ensure routes
match the bot link table so in-chat links resolve.","Scenario: Resource pages are reachable and self-contained
  Given I follow a resource link from navigation or chat
  Then the page explains the topic and links to related actions/pages"
Story,39,,"Education: Resources, Library & Help Center",,,37,Project retirement outcomes with a calculator,Client Portal,,5,customer-app,content,,"As an investor planning for retirement, I want an interactive retirement calculator where I can enter ages, balances, and contributions, so that I can see a projection and adjust assumptions.

=== TECHNICAL DESIGN ===
Controlled inputs. The NumberInput must NOT min-clamp on each keystroke (support select-all + retype);
digits-only with a maxDigits cap; ages unclamped by design. Compute a future-value-with-contributions
projection and re-render on input change.","Scenario: Calculator recomputes on input
  Given I am on the retirement calculator
  When I edit an input (e.g. monthly contribution)
  Then the projected outcome updates accordingly

Scenario: Inputs accept full edits
  Given a numeric input has a value
  When I select all and retype
  Then it is not min-clamped on each keystroke"
Story,40,,"Education: Resources, Library & Help Center",,,37,Browse the library and listen to the investor podcast,Client Portal,,3,customer-app,content,,"As an investor, I want a content library of guide and opinion articles plus a podcast page, so that I can engage with longer-form education in the format I prefer.

=== TECHNICAL DESIGN ===
Library index + ArticlePage (route params: category in {guide,opinion}, slug); a podcast page. Source
content from a data module or markdown.","Scenario: Library lists articles by category
  Given I open the Library
  Then I can browse guide and opinion articles and open any one to read it
  And I can reach the podcast page"
Story,41,,"Education: Resources, Library & Help Center",,,37,Find answers in the help center,Client Portal,,5,customer-app,content,,"As an investor, I want a help center with focused pages for common how-to topics (fees, beneficiaries, rollovers, statements, withdrawals, trading, and more), so that I can resolve specific questions on my own.

=== TECHNICAL DESIGN ===
~27 focused help-topic pages, each a stable route the bot can deep-link. Keep slugs aligned with the KB
link table so the bot never links to a 404.","Scenario: Help pages are focused and linkable
  Given the bot or navigation links me to a help page
  Then the page answers that specific topic and the link opens the correct page"
Epic,42,,,Transaction History & Order Status,1,1,Transaction History & Order Status,Client Portal,High,,customer-app,dynamodb,self-service,"End-to-end transaction history: a dedicated table (one item per transaction) that stores each account's activity back to inception, a deterministic decades-deep seed for the demo personas, and a per-transaction status reflecting the real mutual-fund order lifecycle (Scheduled, Pending, Settling, Completed, Canceled). The portal surfaces this on every transaction list and on a full Transaction History page with filtering, search, sorting, and pagination; each status has a click-to-explain popover. The same data (including status) is exposed to the chatbot and autopilot.

Value: answers ""where is my trade / what happened to my money"" accurately and self-serve, across both the portal and the assistant.

=== TECHNICAL SCOPE ===
Dedicated Transactions DynamoDB table, one item per transaction: PK clientId, SK ""<ISOdate>#<seq>"", GSI
account-index on acctKey=""<clientId>#<accountId>""; newest-first = Query with ScanIndexForward:false.
Status engine: assignStatus(date vs a frozen DEMO_TODAY) -> Scheduled/Pending/Settling/Completed/
Canceled. Deterministic seed generator (idempotent, decades deep across personas) via the reset Lambda.
API: client-data actions get-recent-transactions / get-transactions-page (base64 cursor) /
append-transaction. Frontend: useRecentTransactions hook + StatusCell popover + the /transactions page.
Live trades (execute-task) PutItem a Pending row dated today.","Definition of done:
- Transactions are stored one-per-row with a per-account index and newest-first querying.
- The history page filters, searches, sorts, and paginates large histories.
- Status is computed deterministically and explained via an in-line popover."
Story,43,,Transaction History & Order Status,,,42,Browse full transaction history with filter/search/sort/paginate,Client Portal,High,8,customer-app,dynamodb,,"As an investor, I want a Transaction History page that lets me filter, search, sort, and page through my entire history, so that I can find any past transaction quickly even across decades of activity.

=== TECHNICAL DESIGN ===
Page calls get-transactions-page with a base64 cursor; render a table with right-aligned amounts and
StatusCell; provide account filter, text search, column sort, and next/prev paging. Handle loading/
empty/error states.","Scenario: Paginate a deep history
  Given my account has years of transactions
  When I open Transaction History
  Then transactions load newest-first and I can page without loading everything at once

Scenario: Filter and search
  Given I am on Transaction History
  When I filter by account and search a description
  Then only matching rows are shown"
Sub-task,44,43,,,,43,Create the transactions table with a per-account GSI,Client Portal,,,,,,"One item per transaction: PK clientId, SK <ISOdate>#<seq>, GSI account-index on acctKey; newest-first via descending sort-key query.",
Sub-task,45,43,,,,43,Add paginated client-data read actions,Client Portal,,,,,,get-recent-transactions and get-transactions-page (base64 cursor) in client-data Lambda.,
Sub-task,46,43,,,,43,Build the Transaction History page UI,Client Portal,,,,,,Filter/search/sort/paginate over the paginated API via useRecentTransactions/history hooks.,
Sub-task,47,43,,,,43,Implement get-transactions-page (base64 cursor) in client-data,Client Portal,,,,,,Query newest-first (ScanIndexForward:false); return items + opaque cursor.,
Sub-task,48,43,,,,43,"Table UI with account filter, search, sort, paging",Client Portal,,,,,,Right-aligned amounts; StatusCell; loading/empty/error states.,
Story,49,,Transaction History & Order Status,,,42,Understand each transaction's status,Client Portal,High,3,customer-app,ux,,"As an investor, I want a status on every transaction with a click-to-explain popover, so that I understand whether an order is scheduled, pending, settling, completed, or canceled and what happens next.

=== TECHNICAL DESIGN ===
StatusCell: a dotted-underline label that opens a popover from a display-copy map (per status: meaning +
what happens next). Status value comes from assignStatus; expose it through the read APIs and the
get_transactions AI tool too.","Scenario: Status popover explains the lifecycle
  Given a transaction shows a status with a dotted underline
  When I click the status
  Then a popover explains what the status means and what happens next"
Sub-task,50,49,,,,49,Implement deterministic status assignment,Client Portal,,,,,,assignStatus by date vs frozen DEMO_TODAY in shared/transaction-status.ts.,
Sub-task,51,49,,,,49,Build StatusCell popover component,Client Portal,,,,,,Dotted-underline status with click popover; copy in data/transactionStatus.ts.,
Story,52,,Transaction History & Order Status,,,42,Seed decades-deep transaction history for demo personas,Client Portal,,5,backend,dynamodb,,"As a platform owner, I want a deterministic generator that seeds realistic multi-decade histories for all demo personas, so that the history, status, and pagination features can be demonstrated convincingly and reset idempotently.

=== TECHNICAL DESIGN ===
A deterministic generator seeded by clientId (identical on reruns); idempotent PutItem; covers each
account from inception; assigns status via the frozen DEMO_TODAY so the mix of statuses is stable.","Scenario: Idempotent deep seed
  Given a clean dev environment
  When I run the data reset
  Then each persona has a deterministic multi-year transaction history with realistic statuses"
